day,time_range,activity_type,activity,location,poi_id,priority,booking_needed,notes
D1,10:45-11:30,transport,렌터카 픽업,시모지시마공항,P010,high,yes,국제면허증 준비. 렌터카 예약 필요
D1,11:30-12:30,transport,공항→힐튼 이동,이동중,,medium,no,25분 거리
D1,12:30-14:00,accommodation,힐튼 조기 체크인,힐튼 오키나와 미야코지마,P011,high,check,조기 체크인 가능 여부 확인 필요
D1,14:00-18:00,leisure,호텔 내부 시설 탐방,힐튼 오키나와 미야코지마,P011,medium,partial,수영장 4곳+스파+피트니스+레스토랑 둘러보기
D1,18:00-20:30,dining,힐튼 내 레스토랑 디너,힐튼 오키나와 미야코지마,P011,high,yes,4개 레스토랑 중 선택. 이그제큐티브 라운지 고려
D2,08:00-09:00,dining,힐튼 조식,힐튼 오키나와 미야코지마,P011,medium,no,1층 레스토랑 애저
D2,09:00-11:00,wellness,호텔 스파+수영장,힐튼 오키나와 미야코지마,P011,high,yes,스파 예약 필수. 커플 트리트먼트 추천
D2,11:30-13:00,dining,호텔 내 이탈리안 런치,힐튼 오키나와 미야코지마,P011,medium,maybe,호텔 내 이탈리아 레스토랑
D2,13:00-14:30,rest,객실 휴식 및 짐 정리,힐튼 오키나와 미야코지마,P011,low,no,리조트 간 이동 준비
D2,16:00-19:00,leisure,독채+프라이빗 수영장,Ronsard Resort IRABU,P012,high,no,독채 특성 최대한 활용
D2,19:00-21:00,dining,리조트 근처 디너,Ronsard Resort IRABU 근처,P012,medium,check,독채 요리 또는 근처 식당
D3,08:30-09:30,dining,리조트 조식,Ronsard Resort IRABU,P012,low,check,리조트 조식 서비스 확인
D3,10:00-11:00,transport,론살드→아파트호텔 이동,이동중,,medium,no,체크아웃 후 바로 이동
D3,10:00-12:00,sightseeing,구라마지마 드라이브,구라마지마,P006,medium,no,한적한 섬 드라이브. 사탕수수밭 풍경
D3,12:30-14:30,beach,요나하마에하마 해변,요나하마에하마,P009,medium,no,17km 백사장. 선셋 포인트
D3,14:30-15:30,dining,공설시장 해산물 런치,미야코지마 공설시장,P004,medium,no,현지 해산물
D3,15:30-16:30,shopping,기념품 쇼핑,미야코지마 공설시장,P004,low,no,기념품 구매
D3,17:00-19:00,attraction,독일문화촌,우에노 독일문화촌,P008,low,no,독일 테마파크. 맥주 체험
D3,19:30-20:30,accommodation,아파트호텔 체크인,Apartment Hotel 11,P013,medium,no,3-4일차 숙소
D4,09:00-16:00,free,자유일정+서프라이즈준비,미정,,high,planning,여자친구 모르는 좋은 곳 발굴 및 서프라이즈 준비
D4,16:00-17:30,secret,서프라이즈 최종 준비,비밀장소,,high,planning,비밀 준비 시간
D4,18:00-21:00,special,특별한 저녁식사+서프라이즈,미정,,high,yes,여자친구를 위한 스페셜 디너
D5,10:00-11:00,transport,렌터카 반납,시모지시마공항,P010,high,no,연료 충전 확인. 공항까지 25분